"","Delaware.week","Delaware.total_sequences","Delaware.20I..Alpha..V1.","Delaware.20H..Beta..V2.","Delaware.20J..Gamma..V3.","Delaware.21A..Delta.","Delaware.21I..Delta.","Delaware.21J..Delta.","Delaware.21K..Omicron.","Delaware.21L..Omicron.","Delaware.22B..Omicron.","Delaware.22C..Omicron.","Delaware.21B..Kappa.","Delaware.21D..Eta.","Delaware.21F..Iota.","Delaware.21G..Lambda.","Delaware.21H..Mu.","Delaware.20B.S.732A","Delaware.21C..Epsilon.","Delaware.S.677H.Robin1","Delaware.S.677P.Pelican","Delaware.20G.S.677H.Robin2","Delaware.20G.S.677H.Bluebird","Delaware.20G.S.677H.Mockingbird"
"1","2020-04-27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2020-05-11",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2020-05-25",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2020-06-08",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2020-06-22",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2020-07-06",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2020-07-20",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2020-08-03",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2020-08-17",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020-08-31",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020-09-14",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020-09-28",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020-10-12",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020-10-26",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020-11-09",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2020-11-23",54,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
"17","2020-12-07",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2020-12-21",121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0
"19","2021-01-11",140,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,6,3,2,2,2
"20","2021-01-25",89,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,0
"21","2021-02-08",48,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0
